CATEGORY ,CONTESTANT NAME,CODE,CATEGORYID,CONTESTANTID
AUDIO PRODUCER OF THE YEAR,NNOCENT PRODUCER,23APRY10,23,10
AUDIO PRODUCER OF THE YEAR,NATHAN,23APRY11,23,11
AUDIO PRODUCER OF THE YEAR,DENZEL PRODUCER,23APRY12,23,12
AUDIO PRODUCER OF THE YEAR,DICO SOUNDS,23APRY13,23,13
AUDIO PRODUCER OF THE YEAR,PRODUCER DAVID MUHINYA,23APRY14,23,14
VIDEO PRODUCER OF THE YEAR,OLIT VISUALS,24VPRY1,24,1
VIDEO PRODUCER OF THE YEAR,GENDY PRODUCTIONS,24VPRY2,24,2
VIDEO PRODUCER OF THE YEAR,MEDIAPACK FILMS  - PAPA YODEL,24VPRY3,24,3
VIDEO PRODUCER OF THE YEAR,MIKE MIWO BP  - ZIDI MEDIA,24VPRY4,24,4
VIDEO PRODUCER OF THE YEAR,KIJANA WA MUSKOFU  - BORN TO WORSHIP PRO,24VPRY5,24,5
VIDEO PRODUCER OF THE YEAR,SIR MARTIN   - YARIDA MEDIA,24VPRY6,24,6
VIDEO PRODUCER OF THE YEAR,THOMAS TOMSY,24VPRY7,24,7
VIDEO PRODUCER OF THE YEAR,C-SIR    - LACE MEDIA,24VPRY8,24,8
VIDEO PRODUCER OF THE YEAR,SANDEH,24VPRY9,24,9
VIDEO PRODUCER OF THE YEAR,TWISTER BLACK,24VPRY10,24,10
VIDEO PRODUCER OF THE YEAR,DJ GYLO PAINTO  - GEE2 PRODUCTIONS,24VPRY11,24,11
VIDEO PRODUCER OF THE YEAR,JACK JACKSON,24VPRY12,24,12
VIDEO PRODUCER OF THE YEAR,COLLO MZIMA,24VPRY13,24,13
VIDEO PRODUCER OF THE YEAR,INNOCENT,24VPRY14,24,14
DANCE CREW OF THE YEAR,YOUNG STARZZ,25DCRY1,25,1
DANCE CREW OF THE YEAR,G ENTERTAINMENT DANCE CREW,25DCRY2,25,2
DANCE CREW OF THE YEAR,ELDORET SCHOOL OF DANCE,25DCRY3,25,3
DANCE CREW OF THE YEAR,STAPERZ DANCE CREW,25DCRY4,25,4
DANCE CREW OF THE YEAR,PHD DANCE CREW,25DCRY5,25,5
DANCE CREW OF THE YEAR,SWAT DANCERS,25DCRY6,25,6
DANCE CREW OF THE YEAR,TYRANT DANCE CREW,25DCRY7,25,7
DANCE CREW OF THE YEAR,REVOLUTIONERZ DANCE CREW,25DCRY8,25,8
MALE ARTIST OF THE YEAR,KENAJ MUSIC,26MARY1,26,1
MALE ARTIST OF THE YEAR,MZALENDO,26MARY2,26,2
MALE ARTIST OF THE YEAR,ANGEL KENYA,26MARY3,26,3
MALE ARTIST OF THE YEAR,HECH KENYA,26MARY4,26,4
MALE ARTIST OF THE YEAR,PAPA TOMASO,26MARY5,26,5
MALE ARTIST OF THE YEAR,OCHI PRAIZE,26MARY6,26,6
MALE ARTIST OF THE YEAR,LENNY LION,26MARY7,26,7
MALE ARTIST OF THE YEAR,JOHN MAGERO,26MARY8,26,8
MALE ARTIST OF THE YEAR,COOPER COOPER,26MARY9,26,9
MALE ARTIST OF THE YEAR,ZAE DE KIM,26MARY10,26,10
MALE ARTIST OF THE YEAR,REV. ANTONY MUSEMBI,26MARY11,26,11
MALE ARTIST OF THE YEAR,FLOYD BELIEVER,26MARY12,26,12
MALE ARTIST OF THE YEAR,Z.B.,26MARY13,26,13
MALE ARTIST OF THE YEAR,TIMAM EVANS,26MARY14S,26,14
